id,k,z,stop_loss_pct,net_profit,final_equity,cagr_pct,max_dd_pct,sortino,total_trades,active_combos,skipped_trades,stop_loss_hits
k2_5_z0_10_stop70,2.5,0.1,70.0,15390.38,25390.38,9.77,8.57,3.29,12925,115,353,0
k2_5_z0_15_stop70,2.5,0.15,70.0,16792.37,26792.37,10.36,7.92,3.48,10420,97,441,0
k2_5_z0_20_stop70,2.5,0.2,70.0,17903.65,27903.65,10.81,7.79,3.65,9144,86,489,0
k2_5_z0_25_stop70,2.5,0.25,70.0,18842.59,28842.59,11.18,7.52,3.73,8172,77,461,0
k2_5_z0_30_stop70,2.5,0.3,70.0,20288.67,30288.67,11.72,6.54,3.81,6625,66,345,0
k2_5_z0_35_stop70,2.5,0.35,70.0,21013.05,31013.05,11.99,7.05,3.79,6061,60,320,0
k2_5_z0_40_stop70,2.5,0.4,70.0,21856.87,31856.87,12.29,6.85,3.83,5283,55,290,0
k3_0_z0_10_stop70,3.0,0.1,70.0,16620.01,26620.01,10.29,9.9,3.41,12271,115,1007,0
k3_0_z0_15_stop70,3.0,0.15,70.0,18072.19,28072.19,10.88,9.13,3.51,9777,97,1084,0
k3_0_z0_20_stop70,3.0,0.2,70.0,19222.82,29222.82,11.32,8.94,3.57,8529,86,1104,0
k3_0_z0_25_stop70,3.0,0.25,70.0,20438.82,30438.82,11.78,8.35,3.64,7689,77,944,0
k3_0_z0_30_stop70,3.0,0.3,70.0,21841.6,31841.6,12.28,6.97,3.7,6147,66,823,0
k3_0_z0_35_stop70,3.0,0.35,70.0,23294.8,33294.8,12.78,6.44,3.77,5666,60,715,0
k3_0_z0_40_stop70,3.0,0.4,70.0,23537.69,33537.69,12.87,6.51,3.61,4947,55,626,0
k3_5_z0_10_stop70,3.5,0.1,70.0,18036.11,28036.11,10.86,10.12,3.39,11478,115,1800,0
k3_5_z0_15_stop70,3.5,0.15,70.0,19235.06,29235.06,11.33,9.65,3.49,9026,97,1835,0
k3_5_z0_20_stop70,3.5,0.2,70.0,20558.48,30558.48,11.82,8.66,3.66,7806,86,1827,0
k3_5_z0_25_stop70,3.5,0.25,70.0,22236.87,32236.87,12.42,7.94,3.75,7070,77,1563,0
k3_5_z0_30_stop70,3.5,0.3,70.0,23847.99,33847.99,12.97,5.66,3.62,5729,66,1241,0
k3_5_z0_35_stop70,3.5,0.35,70.0,24936.74,34936.74,13.33,5.83,3.59,5220,60,1161,0
k3_5_z0_40_stop70,3.5,0.4,70.0,24899.55,34899.55,13.32,6.57,3.39,4548,55,1025,0
k4_0_z0_10_stop70,4.0,0.1,70.0,18876.0,28876.0,11.19,11.23,3.43,10598,115,2680,0
k4_0_z0_15_stop70,4.0,0.15,70.0,20775.98,30775.98,11.9,9.64,3.57,8347,97,2514,0
k4_0_z0_20_stop70,4.0,0.2,70.0,22336.22,32336.22,12.45,9.01,3.71,7238,86,2395,0
k4_0_z0_25_stop70,4.0,0.25,70.0,22389.65,32389.65,12.47,11.23,3.61,6383,77,2250,0
k4_0_z0_30_stop70,4.0,0.3,70.0,24037.19,34037.19,13.03,7.46,3.37,5257,66,1713,0
k4_0_z0_35_stop70,4.0,0.35,70.0,25517.14,35517.14,13.51,8.01,3.46,4719,60,1662,0
k4_0_z0_40_stop70,4.0,0.4,70.0,27004.21,37004.21,13.98,7.88,3.45,4195,55,1378,0
k4_5_z0_10_stop70,4.5,0.1,70.0,19944.37,29944.37,11.59,11.37,3.42,9814,115,3464,0
k4_5_z0_15_stop70,4.5,0.15,70.0,21569.06,31569.06,12.18,10.77,3.55,7605,97,3256,0
k4_5_z0_20_stop70,4.5,0.2,70.0,22155.52,32155.52,12.39,11.6,3.66,6525,86,3108,0
k4_5_z0_25_stop70,4.5,0.25,70.0,23555.67,33555.67,12.87,10.98,3.55,5932,77,2701,0
k4_5_z0_30_stop70,4.5,0.3,70.0,24722.87,34722.87,13.26,9.97,3.26,4881,66,2089,0
k4_5_z0_35_stop70,4.5,0.35,70.0,26662.92,36662.92,13.88,9.49,3.34,4476,60,1905,0
k4_5_z0_40_stop70,4.5,0.4,70.0,28154.15,38154.15,14.33,9.26,3.41,3737,55,1836,0
k5_0_z0_10_stop70,5.0,0.1,70.0,21278.91,31278.91,12.08,11.9,3.52,9045,115,4233,0
k5_0_z0_15_stop70,5.0,0.15,70.0,22490.96,32490.96,12.51,11.23,3.59,7018,97,3843,0
k5_0_z0_20_stop70,5.0,0.2,70.0,23229.49,33229.49,12.76,12.25,3.53,6101,86,3532,0
k5_0_z0_25_stop70,5.0,0.25,70.0,24377.21,34377.21,13.14,11.99,3.52,5428,77,3205,0
k5_0_z0_30_stop70,5.0,0.3,70.0,25238.14,35238.14,13.43,10.03,3.13,4314,66,2656,0
k5_0_z0_35_stop70,5.0,0.35,70.0,28011.7,38011.7,14.29,8.58,3.31,4104,60,2277,0
k5_0_z0_40_stop70,5.0,0.4,70.0,28048.02,38048.02,14.3,10.42,3.2,3492,55,2081,0
