id,k,z,stop_loss_pct,net_profit,final_equity,cagr_pct,max_dd_pct,sortino,total_trades,active_combos,skipped_trades,stop_loss_hits
k3_5_z0_30_stop40,3.5,0.3,40.0,22690.2,32690.2,12.58,7.4,3.44,5497,66,1250,28
k3_5_z0_35_stop40,3.5,0.35,40.0,24140.96,34140.96,13.07,7.74,3.45,5113,60,1045,28
k3_5_z0_40_stop40,3.5,0.4,40.0,24889.68,34889.68,13.31,6.56,3.53,4548,56,1010,28
k4_0_z0_10_stop40,4.0,0.1,40.0,18887.23,28887.23,11.19,10.94,3.34,10554,115,2608,28
k4_0_z0_15_stop40,4.0,0.15,40.0,19920.5,29920.5,11.58,10.22,3.14,8299,98,2548,28
k4_0_z0_20_stop40,4.0,0.2,40.0,21474.44,31474.44,12.15,8.45,3.37,7133,87,2485,28
k4_0_z0_25_stop40,4.0,0.25,40.0,22412.69,32412.69,12.48,9.87,3.37,6423,78,2195,28
k4_0_z0_30_stop40,4.0,0.3,40.0,23621.17,33621.17,12.89,7.46,3.34,5058,66,1689,28
k4_0_z0_35_stop40,4.0,0.35,40.0,24985.81,34985.81,13.34,7.92,3.17,4693,60,1465,28
k4_0_z0_40_stop40,4.0,0.4,40.0,26383.13,36383.13,13.79,7.07,3.5,4173,56,1385,28
k4_5_z0_10_stop40,4.5,0.1,40.0,19579.48,29579.48,11.46,11.12,3.24,9794,115,3368,28
k4_5_z0_15_stop40,4.5,0.15,40.0,21322.23,31322.23,12.1,9.94,3.38,7588,98,3259,28
k4_5_z0_20_stop40,4.5,0.2,40.0,22319.74,32319.74,12.45,11.4,3.24,6686,87,2932,28
k4_5_z0_25_stop40,4.5,0.25,40.0,23044.94,33044.94,12.7,9.46,3.48,5812,78,2806,28
k4_5_z0_30_stop40,4.5,0.3,40.0,24704.89,34704.89,13.25,8.28,3.32,4728,66,2019,28
k4_5_z0_35_stop40,4.5,0.35,40.0,26486.0,36486.0,13.82,8.63,3.17,4312,60,1846,28
k4_5_z0_40_stop40,4.5,0.4,40.0,26992.69,36992.69,13.98,8.54,3.19,3873,56,1685,28
k5_0_z0_10_stop40,5.0,0.1,40.0,20912.93,30912.93,11.95,11.63,3.32,9046,115,4116,28
k5_0_z0_15_stop40,5.0,0.15,40.0,21990.81,31990.81,12.33,10.45,3.36,7034,98,3813,28
k5_0_z0_20_stop40,5.0,0.2,40.0,23331.7,33331.7,12.8,11.05,3.32,6166,87,3452,28
k5_0_z0_25_stop40,5.0,0.25,40.0,23394.33,33394.33,12.82,9.82,3.1,5255,78,3363,28
k5_0_z0_30_stop40,5.0,0.3,40.0,26326.97,36326.97,13.77,9.85,3.04,4338,66,2409,28
k5_0_z0_35_stop40,5.0,0.35,40.0,27275.83,37275.83,14.06,9.53,3.16,3791,60,2367,28
k5_0_z0_40_stop40,5.0,0.4,40.0,28228.12,38228.12,14.35,8.75,3.26,3560,56,1998,28
k1_0_z0_10_stop50,1.0,0.1,50.0,11017.33,21017.33,7.71,6.14,2.12,13509,118,23,10
k1_0_z0_15_stop50,1.0,0.15,50.0,11637.45,21637.45,8.03,6.06,2.25,10917,99,22,10
k1_0_z0_20_stop50,1.0,0.2,50.0,12162.91,22162.91,8.28,6.11,2.35,9689,88,22,10
k1_0_z0_25_stop50,1.0,0.25,50.0,12380.32,22380.32,8.39,5.68,2.4,8691,79,20,10
k1_0_z0_30_stop50,1.0,0.3,50.0,13074.08,23074.08,8.72,5.55,2.52,7025,68,23,10
k1_0_z0_35_stop50,1.0,0.35,50.0,13500.59,23500.59,8.92,5.45,2.6,6434,62,25,10
k1_0_z0_40_stop50,1.0,0.4,50.0,13717.68,23717.68,9.02,5.2,2.64,5580,56,31,10
k1_5_z0_10_stop50,1.5,0.1,50.0,11562.2,21562.2,7.99,5.52,2.67,13514,118,18,10
k1_5_z0_15_stop50,1.5,0.15,50.0,12517.53,22517.53,8.46,5.29,2.83,10920,99,19,10
k1_5_z0_20_stop50,1.5,0.2,50.0,13636.22,23636.22,8.98,5.55,3.04,9688,88,23,10
k1_5_z0_25_stop50,1.5,0.25,50.0,14952.35,24952.35,9.58,5.25,3.11,8683,79,28,10
k1_5_z0_30_stop50,1.5,0.3,50.0,15822.09,25822.09,9.95,5.24,3.2,7024,68,24,10
k1_5_z0_35_stop50,1.5,0.35,50.0,16352.58,26352.58,10.18,5.22,3.29,6435,62,24,10
k1_5_z0_40_stop50,1.5,0.4,50.0,15999.72,25999.72,10.03,4.57,3.26,5584,56,27,10
k2_0_z0_10_stop50,2.0,0.1,50.0,14120.24,24120.24,9.21,7.01,3.04,13484,118,48,10
k2_0_z0_15_stop50,2.0,0.15,50.0,15180.27,25180.27,9.68,6.05,3.18,10884,99,55,10
k2_0_z0_20_stop50,2.0,0.2,50.0,16313.29,26313.29,10.16,5.73,3.33,9644,88,67,10
k2_0_z0_25_stop50,2.0,0.25,50.0,17110.94,27110.94,10.49,5.7,3.45,8651,79,60,10
k2_0_z0_30_stop50,2.0,0.3,50.0,17556.37,27556.37,10.67,5.57,3.47,7002,68,46,10
k2_0_z0_35_stop50,2.0,0.35,50.0,19251.57,29251.57,11.33,5.57,3.65,6412,62,47,10
k2_0_z0_40_stop50,2.0,0.4,50.0,19734.28,29734.28,11.51,4.96,3.7,5567,56,44,10
k2_5_z0_10_stop50,2.5,0.1,50.0,15197.67,25197.67,9.68,8.82,3.13,13214,118,318,10
k2_5_z0_15_stop50,2.5,0.15,50.0,16029.32,26029.32,10.04,7.66,3.19,10534,99,405,10
k2_5_z0_20_stop50,2.5,0.2,50.0,17796.58,27796.58,10.77,7.13,3.38,9259,88,452,10
k2_5_z0_25_stop50,2.5,0.25,50.0,18572.74,28572.74,11.07,7.13,3.42,8290,79,421,10
k2_5_z0_30_stop50,2.5,0.3,50.0,19912.46,29912.46,11.58,6.19,3.48,6735,68,313,10
k2_5_z0_35_stop50,2.5,0.35,50.0,21085.72,31085.72,12.01,6.31,3.54,6181,62,278,10
k2_5_z0_40_stop50,2.5,0.4,50.0,21617.92,31617.92,12.2,6.06,3.54,5351,56,260,10
k3_0_z0_10_stop50,3.0,0.1,50.0,16574.58,26574.58,10.27,10.67,3.18,12577,118,955,10
k3_0_z0_15_stop50,3.0,0.15,50.0,18018.56,28018.56,10.85,9.47,3.23,9911,99,1028,10
k3_0_z0_20_stop50,3.0,0.2,50.0,19429.87,29429.87,11.4,8.76,3.34,8735,88,976,10
k3_0_z0_25_stop50,3.0,0.25,50.0,20487.37,30487.37,11.79,8.68,3.39,7823,79,888,10
k3_0_z0_30_stop50,3.0,0.3,50.0,22153.72,32153.72,12.39,6.08,3.43,6344,68,704,10
k3_0_z0_35_stop50,3.0,0.35,50.0,23058.11,33058.11,12.7,6.51,3.38,5800,62,659,10
k3_0_z0_40_stop50,3.0,0.4,50.0,23772.71,33772.71,12.94,6.25,3.38,4994,56,617,10
k3_5_z0_10_stop50,3.5,0.1,50.0,17793.58,27793.58,10.76,10.99,3.19,11764,118,1768,10
k3_5_z0_15_stop50,3.5,0.15,50.0,19683.17,29683.17,11.5,9.73,3.28,9123,99,1816,10
k3_5_z0_20_stop50,3.5,0.2,50.0,20718.54,30718.54,11.88,9.54,3.24,8006,88,1705,10
k3_5_z0_25_stop50,3.5,0.25,50.0,21948.76,31948.76,12.32,8.26,3.33,7211,79,1500,10
k3_5_z0_30_stop50,3.5,0.3,50.0,23254.1,33254.1,12.77,6.08,3.17,5874,68,1174,10
k3_5_z0_35_stop50,3.5,0.35,50.0,24521.94,34521.94,13.19,6.53,3.14,5387,62,1072,10
k3_5_z0_40_stop50,3.5,0.4,50.0,24826.97,34826.97,13.29,6.86,3.07,4594,56,1017,10
k4_0_z0_10_stop50,4.0,0.1,50.0,18787.93,28787.93,11.15,11.65,3.2,10919,118,2613,10
k4_0_z0_15_stop50,4.0,0.15,50.0,20525.73,30525.73,11.81,9.34,3.26,8389,99,2550,10
k4_0_z0_20_stop50,4.0,0.2,50.0,21634.98,31634.98,12.21,9.43,3.17,7374,88,2337,10
